"Item";"Score";"Decision";"Evidence";"Reason"
"Item_1";1;"1.0";"The infants of the participating parents were single-born infants and twins born in 2005–2006, with a gestation age from 30.0 to less than 36.0 weeks. They were all born at Oslo University Hospital, and were all hospitalized for more than 8 days in the NICU... The mothers recruited to the study had to live in Oslo; speak, read and write Norwegian; and have no previous history of alcohol or drug abuse or psychiatric disorder.";"Explicit and replicable inclusion and exclusion criteria are reported without exceptions."
"Item_2";1;"1.0";"In the overall follow-up study at 36 months, the parents of 62 infants participated. All participating parents were invited by mail to participate in the focus group interviews. Thirty-one parents of 25 children decided to participate by giving a positive response...";"Participant flow is clear and loss/completer numbers are calculable from the invited pool."
"Item_3";0,5;"0.5";"14 parents of 11 children from the intervention group, and 17 parents of 14 children from the control group were interviewed...";"Group-level participant counts are provided for the final sample, but total losses from the invited 62 infants cannot be fully calculated per arm."
"Item_4";1;"1.0";"The interviews were audiotaped and transcribed verbatim... analysed thematically in six phases as recommended by Braun and Clark.";"There were no missing outcome data needing handling among the interviewed participants."
"Item_5";1;"1.0";"After the parents had signed an informed consent form, computer-generated random numbers allocated the infants to the intervention or control group.";"Explicit statement that units were randomly allocated using computer-generated random numbers."
"Item_6";1;"1.0";"As part of a follow-up study at 36 months... The interviews took place in January and September 2009 and January 2010.";"The follow-up measurement occurred at 36 months, which is more than 6 months after the intervention ended."
"Item_7";0;"0.0";"A group of the parents who participated in the follow-up study at 36 months was interviewed.";"Qualitative outcome data were collected at a single post-intervention measurement occasion only."
"Item_8";0;"0.0";"An experienced neonatal nurse with special skills in family dynamics moderated the groups. She had not previously met the participants.";"No valid control techniques (such as explicit blinding or procedural attention control) are present after applying exclusions."
"Item_9";0;"0.0";"semi-structured focus group interviews... analysed thematically in six phases";"No psychometric properties from the study's own sample are reported for the qualitative outcome measure."
"Item_10";1;"1.0";"Parents of preterm-born infants often experience an increased level of parental stress [1-3] and emotional burden... In the semi-structured interviews, the participants... were asked to discuss: if they thought that parents of preterm-born children would experience more stress and worries in their role compared to parents of children born at term.";"The primary concepts (parental stress and worries) are defined conceptually in the background and empirically operationalized through the focus group interview protocol."
