"Item";"Score";"Decision";"Evidence";"Reason"
"Item_1";1;"1.0";"To be eligible for the study, women had to demonstrate a post-void residual volume of less than 150 mL and the ability to contract their PFMs. They also had to show 7 or more episodes of UI on a 7-day baseline diary. Finally, they had to self-report persistent UI for at least 3 months, no current use of antimuscarinics...";"Explicit, replicable inclusion and exclusion criteria are reported without exceptions."
"Item_2";0,5;"0.5";"By treatment visit 4 (n=143)... At 2 Months (n=121), 4 Months (n=107), 6 Months (n=110), 12 Months (n=97)";"Participant counts are provided across several follow-up points, but counts fluctuate across time points and complete participant flow/reasons for non-response are only partially specified."
"Item_3";9;"9.0";"This article reports adherence data from the subgroup of women who received the behavioral intervention in combination with drug therapy.";"The study is a single-arm secondary analysis evaluating adherence within one treatment group, so group-by-group attrition comparisons are not applicable."
"Item_4";0;"0.0";"Associations of factors hypothesized to be related to exercise adherence were explored using least squares regression analysis... As data were obtained from multiple centers, study site was included as a random effect in the multivariable analyses.";"No missing data imputation method (such as MI, FIML, or EM) was specified or used for incomplete outcome cases."
"Item_5";1;"1.0";"This was a prospectively planned secondary data analysis from a 2-stage, multicenter, randomized clinical trial.";"The study was conducted and explicitly described as a randomized clinical trial."
"Item_6";1;"1.0";"Pelvic-floor muscle exercise adherence and exercise barriers were assessed during the intervention phase and 1 year afterward.";"The follow-up period extended 12 months (1 year) post-intervention, which exceeds 6 months."
"Item_7";1;"1.0";"They also had to show 7 or more episodes of UI on a 7-day baseline diary... administered at visits 2 through 4... 1-year follow-up phase... reported at each of the 2, 4, 6 and 12-month visits.";"Data collection occurred at baseline (pre-test), during/end of intervention, and at post-intervention follow-up visits."
"Item_8";0;"0.0";"Drug therapy was 4 mg per day of open-label tolterodine tartrate... To ensure standardized administration across clinicians and clinical sites, behavioral interventionists attended centralized training.";"No valid procedural control techniques (such as blinding, placebo/attention control, or counterbalancing) were used after applying exclusions."
"Item_9";0;"0.0";"The exercise adherence questionnaire we designed for this study was not tested psychometrically.";"The self-administered questionnaire was developed for the study and explicitly not tested for psychometric properties."
"Item_10";1;"1.0";"Urge urinary incontinence (UUI), defined as the involuntary loss of urine associated with a strong desire to void... Exercise adherence during the intervention phase was defined as the mean number of exercises per day averaged at visits 2 through 4.";"The key outcomes and variables are defined both conceptually in the Introduction and empirically/operationally in the Methods."
