"ID";"Item";"Score";"Decision";"Evidence";"Reason"
"25896_Graves_2009";"Item_1";0,5;"0.5";"Data from 434 adult participants with type 2 diabetes or hypertension... from a disadvantaged community in Queensland were used... Participants were recruited from ten primary care practices via electronic medical records searches for condition-eligible participants.";"Eligibility criteria are described in general terms, but detailed, replicable inclusion and exclusion criteria (e.g., exact medical search criteria, specific diagnostic thresholds, explicit exclusions) are only partially specified."
"25896_Graves_2009";"Item_2";0,5;"0.5";"Participants were randomised to Telephone Counselling (n = 228) or Usual Care (n = 206)... three participants were excluded due to death.";"Baseline enrollment (n=434) and 3 deaths are noted, but complete total attrition numbers and flow across follow-up time points are only partially specified."
"25896_Graves_2009";"Item_3";0,5;"0.5";"Participants were randomised to Telephone Counselling (n = 228) or Usual Care (n = 206)... three participants were excluded due to death.";"Initial baseline numbers per group are provided, but exact attrition or completed counts per arm across the follow-up timeline cannot be fully calculated."
"25896_Graves_2009";"Item_4";0,5;"0.5";"systolic blood pressure and total serum cholesterol by imputing the age and sex-specific average values [30].";"An imputation method for missing risk factor variables is explicitly mentioned, but complete details regarding handling of missing outcome data are incomplete."
"25896_Graves_2009";"Item_5";1;"1.0";"A cluster-randomised trial of a telephone counselling intervention for physical activity and diet was conducted... Participants were randomised to Telephone Counselling (n = 228) or Usual Care (n = 206).";"The study was conducted as a cluster-randomized trial with participants randomly allocated to study conditions."
"25896_Graves_2009";"Item_6";0;"0.0";"Participants in the Telephone Counselling group received a 12-month intervention... Diet and physical activity outcomes of the trial were assessed using telephone interviews at baseline, 4-months and 12-months.";"The 12-month assessment took place at the end of the 12-month intervention period, so there was no post-intervention follow-up measurement."
"25896_Graves_2009";"Item_7";0,5;"0.5";"Diet and physical activity outcomes of the trial were assessed using telephone interviews at baseline, 4-months and 12-months.";"Assessments occurred at baseline (pre-test) and at post-baseline points during intervention, but without a distinct post-intervention follow-up after intervention completion."
"25896_Graves_2009";"Item_8";0;"0.0";"To obtain approval from an ethics committee and to reduce attrition, the Usual Care group received more than would typically have been made available under existing practice conditions...";"No valid procedural control categories (such as blinding, matching/counterbalancing, or explicit attention control) were implemented during intervention delivery."
"25896_Graves_2009";"Item_9";0,5;"0.5";"Participant use of health care services... collected by validated questionnaire [21]. The SF-36 health survey was administered... mapped onto the SF-6D using a validated algorithm [23]. Diet and physical activity... Validated instruments used in Australian population health surveys were employed [25–27].";"Validation of instruments is cited exclusively from past literature, with no psychometric properties (such as Cronbach's alpha or ICC) reported from the study's own sample."
"25896_Graves_2009";"Item_10";1;"1.0";"Regular physical activity and a healthy diet are critical for the prevention and management of most chronic conditions... Diet and physical activity were assessed relative to Australian guidelines: 150 minutes a week of accumulated moderate physical activity... SF-36 health survey...";"Outcomes are defined conceptually in the introduction (role in chronic disease management) and empirically in the methods using standardized guidelines and instruments (SF-36/SF-6D, dietary and activity guidelines)."
