"Item";"Score";"Decision";"Evidence";"Reason"
"Item_1";0,5;"0.5";"434 adult participants with type 2 diabetes or hypertension (mean age 58.2 [SD 11.8]; 61% female; mean BMI 31.1 [SD 6.8]) from a disadvantaged community in Queensland were used for cost-effectiveness modelling. Participants were recruited from ten primary care practices via electronic medical records searches for condition-eligible participants.";"Eligibility criteria are partially described (adults with type 2 diabetes or hypertension in primary care practices within a low socio-economic area), but complete inclusion and explicit exclusion rules are not fully detailed in this paper."
"Item_2";0,5;"0.5";"The simulation was informed by all of the data reported in the primary trial (n = 431); three participants were excluded due to death.";"Attrition is partially reported (3 deaths excluded from 434 recruited participants), but complete participant flow and dropout counts across 4-month and 12-month assessments are not fully detailed."
"Item_3";0;"0.0";"Participants were randomised to Telephone Counselling (n = 228) or Usual Care (n = 206)... three participants were excluded due to death.";"Group-level attrition cannot be determined because the text does not specify which group the 3 deceased participants belonged to, nor does it provide per-group completer/loss counts across time points."
"Item_4";0,5;"0.5";"systolic blood pressure and total serum cholesterol by imputing the age and sex-specific average values [30].";"Mean/average imputation by age and sex is specified for missing risk factor data, but complete missing-data handling details for longitudinal primary outcomes are not fully described."
"Item_5";1;"1.0";"A cluster-randomised trial of a telephone counselling intervention for physical activity and diet was conducted... Participants were randomised to Telephone Counselling (n = 228) or Usual Care (n = 206).";" The study utilizes data from a trial where participants were explicitly randomly assigned to conditions (cluster-randomized trial)."
"Item_6";0;"0.0";"Participants in the Telephone Counselling group received a 12-month intervention... Diet and physical activity outcomes of the trial were assessed using telephone interviews at baseline, 4-months and 12-months.";"All empirical outcome measurements were taken during the 12-month intervention period; no post-intervention follow-up measurement was conducted after the intervention ended (subsequent years were projected via Markov modeling)."
"Item_7";0,5;"0.5";"Diet and physical activity outcomes of the trial were assessed using telephone interviews at baseline, 4-months and 12-months.";"Data collection occurred at baseline and two in-intervention occasions (4 and 12 months), with no post-intervention follow-up occasion after the 12-month program concluded."
"Item_8";0;"0.0";"To obtain approval from an ethics committee and to reduce attrition, the Usual Care group received more than would typically have been made available under existing practice conditions... three telephone interviews of approximately 45–60 minutes duration each... feedback on their behaviour... off-the-shelf print materials";"No valid procedural control categories (blinding/masking, matching/pairing, or explicit attention control) are present after applying standard exclusions."
"Item_9";0,5;"0.5";"The participant use of health care services... collected by validated questionnaire [21]. The SF-36 health survey... mapped onto the SF-6D using a validated algorithm [23]. Validated instruments used in Australian population health surveys were employed [25–27].";"Instrument validation and measurement properties are referenced exclusively from past literature; no internal sample reliability or validity coefficients are reported."
"Item_10";1;"1.0";"Diet and physical activity were assessed relative to Australian guidelines: 150 minutes a week of accumulated moderate physical activity on five or more days per week [28]; at least five servings per day of vegetables; at least two daily servings of fruit; less than 30% of energy intake from total fat; less than 10% of energy intake from saturated fat and 30 grams or more of fibre per day [29].";"Primary outcome constructs are defined conceptually (lifestyle behavior change for chronic disease prevention) and empirically via explicit operational guidelines and validated standard survey measures."
